postureName,convexity,eccentricity,compactness,circularity,squareness,convexityDefects,nu00,nu11,nu02,nu30,nu21,nu12,nu03
straight,0.854576,0.393378,0.525345,0.343063,0.677111,0,0.057134,-0.059711,0.186663,0.000304,-0.004093,0.008576,-0.001682
straight,0.85226,0.423808,0.549187,0.365082,0.681616,0,0.062045,-0.058269,0.168687,-0.000159,-0.003353,0.007441,-0.001635
straight,0.844733,0.477168,0.576567,0.398011,0.695843,0,0.065364,-0.053749,0.151105,-0.000604,-0.002286,0.00543,-0.000839
straight,0.866345,0.389261,0.521433,0.329349,0.677985,0,0.049163,-0.053917,0.204966,-0.000103,-0.004833,0.012075,-0.005208
straight,0.867866,0.386824,0.535131,0.34101,0.672872,0,0.042488,-0.037239,0.206358,-0.001519,-0.003341,0.015434,-0.015091
straight,0.876019,0.406551,0.565481,0.372994,0.704335,0,0.056333,-0.057479,0.184533,0.000692,-0.0045,0.008453,-0.000182
straight,0.852307,0.380408,0.503401,0.316222,0.655346,0,0.056841,-0.062143,0.193544,8.8e-05,-0.004037,0.009033,-0.002793
straight,0.842633,0.44556,0.565385,0.38427,0.686714,0,0.062344,-0.053321,0.15811,-0.000854,-0.001861,0.005196,-0.001276
straight,0.868234,0.38754,0.512478,0.311537,0.654795,0,0.042915,-0.042309,0.216625,-0.001497,-0.004266,0.017438,-0.016565
straight,0.858258,0.364764,0.502398,0.315131,0.665161,0,0.081924,-0.084489,0.174542,0.004738,-0.008785,0.008287,0.002787
straight,0.857103,0.400193,0.548947,0.365967,0.683918,0,0.041974,-0.0303,0.19134,-0.001217,0.000279,0.007392,-0.007862
straight,0.843401,0.418458,0.557371,0.383077,0.700653,0,0.038181,0.000135,0.185499,-0.000189,0.002983,0.003173,-0.010306
straight,0.872737,0.361709,0.505587,0.304585,0.675,0,0.107177,-0.096127,0.154044,0.011527,-0.013006,0.007384,0.005278
straight,0.866575,0.356917,0.492005,0.290202,0.604719,0,0.162123,-0.093306,0.101768,0.029843,-0.014545,-0.000287,0.008579
straight,0.852916,0.39415,0.522184,0.342601,0.6762,0,0.05695,-0.059414,0.186689,0.000276,-0.00402,0.008543,-0.001865
fortyfive,0.740464,0.751943,0.479626,0.514559,0.628801,1,0.108514,-0.049777,0.11139,0.018516,-0.001909,-0.007715,0.014092
fortyfive,0.763891,0.68879,0.525097,0.534969,0.662797,1,0.101797,-0.045439,0.105411,0.013359,-0.000893,-0.005357,0.010244
fortyfive,0.733114,0.705769,0.464723,0.50032,0.606274,1,0.106905,-0.050344,0.116654,0.020559,-0.004934,-0.007302,0.016731
fortyfive,0.760774,0.706669,0.547586,0.551967,0.687954,1,0.099023,-0.040616,0.098578,0.010068,-0.000829,-0.003043,0.007338
