"postureName";"convexity";"eccentricity";"compactness";"circularity";"squareness";"convexityDefects";"nu00";"nu11";"nu02";"nu30";"nu21";"nu12";"nu03";"arm0";"arm1";"arm2";"arm3";"arm4";"arm5";"arm6";"arm7";"arm8";"arm9";"arm10";"arm11";"arm12";"arm13";"arm14";"arm15";"head0";"head1";"head2";"head3";"head4";"head5";
"straight";0.854576;0.393378;0.525345;0.343063;0.677111;0;0.057134;-0.059711;0.186663;0.000304;-0.004093;0.008576;-0.001682;-49.9725;60.011;0.0380398;39.956;-0.000424526;0.000204403;-8.17611e-05;0;10.0018;54.5429;32.951;10.158;10.047;10.0652;10.1273;5.45727;-30;0;30;0;0;0;
"straight";0.85226;0.423808;0.549187;0.365082;0.681616;0;0.062045;-0.058269;0.168687;-0.000159;-0.003353;0.007441;-0.001635;-49.9725;60.011;0.0380398;39.956;10;0.000204403;-8.17611e-05;0;10.0018;54.5429;32.951;10.158;10.047;10.0652;10.1273;5.45727;-30;0;30;0;0;0;
"straight";0.844733;0.477168;0.576567;0.398011;0.695843;0;0.065364;-0.053749;0.151105;-0.000604;-0.002286;0.00543;-0.000839;-49.9725;60.011;0.0380398;39.956;20;0.000204403;-8.17611e-05;0;10.0018;54.5429;32.951;10.158;10.047;10.0652;10.1273;5.45727;-30;0;30;0;0;0;
"straight";0.866345;0.389261;0.521433;0.329349;0.677985;0;0.049163;-0.053917;0.204966;-0.000103;-0.004833;0.012075;-0.005208;-49.9725;60.011;0.0380398;39.956;-10;0.000204403;-8.17611e-05;0;10.0018;54.5429;32.951;10.158;10.047;10.0652;10.1273;5.45727;-30;0;30;0;0;0;
"straight";0.867866;0.386824;0.535131;0.34101;0.672872;0;0.042488;-0.037239;0.206358;-0.001519;-0.003341;0.015434;-0.015091;-49.9725;60.011;0.0380398;39.956;-20;0.000204403;-8.17611e-05;0;10.0018;54.5429;32.951;10.158;10.047;10.0652;10.1273;5.45727;-30;0;30;0;0;0;
"straight";0.876019;0.406551;0.565481;0.372994;0.704335;0;0.056333;-0.057479;0.184533;0.000692;-0.0045;0.008453;-0.000182;-49.97;60.011;0.0380398;30;0;0.000204403;-8.17611e-05;0;10.0018;54.5429;32.951;10.158;10.047;10.0652;10.1273;5.45727;-30;0;30;0;0;0;
"straight";0.852307;0.380408;0.503401;0.316222;0.655346;0;0.056841;-0.062143;0.193544;8.8e-05;-0.004037;0.009033;-0.002793;-49.97;60.011;0.0380398;50;0;0.000204403;-8.17611e-05;0;10.0018;54.5429;32.951;10.158;10.047;10.0652;10.1273;5.45727;-30;0;30;0;0;0;
"straight";0.842633;0.44556;0.565385;0.38427;0.686714;0;0.062344;-0.053321;0.15811;-0.000854;-0.001861;0.005196;-0.001276;-49.97;60.011;0.0380398;50;20;0.000204403;-8.17611e-05;0;10.0018;54.5429;32.951;10.158;10.047;10.0652;10.1273;5.45727;-30;0;30;0;0;0;
"straight";0.868234;0.38754;0.512478;0.311537;0.654795;0;0.042915;-0.042309;0.216625;-0.001497;-0.004266;0.017438;-0.016565;-49.97;60.011;0.0380398;50;-20;0.000204403;-8.17611e-05;0;10.0018;54.5429;32.951;10.158;10.047;10.0652;10.1273;5.45727;-30;0;30;0;0;0;
"straight";0.858258;0.364764;0.502398;0.315131;0.665161;0;0.081924;-0.084489;0.174542;0.004738;-0.008785;0.008287;0.002787;-49.9725;59.9231;0.0380398;39.956;-0.000424526;10;-8.17611e-05;0;10.0018;55.0038;33.7985;10.158;10.047;10.0652;10.1273;6.36636;-30;0;30;0;0;0;
