"objectName";"convexity";"eccentricity";"compactness";"circularity";"squareness";"convexityDefects";"nu00";"nu11";"nu02";"nu30";"nu21";"nu12";"nu03";
"pear";0.929789;0.633641;0.788001;0.600428;0.741684;0;0.055858;-0.012778;0.125032;0.001891;-0.003935;-0.002815;0.011432;
"pear";0.920574;0.626905;0.772887;0.57748;0.712453;0;0.078809;-0.03723;0.10415;0.002122;0.003654;-0.007004;0.002665;
"pear";0.903771;0.578499;0.739185;0.532347;0.687602;0;0.084265;0.044252;0.10465;-0.001555;0.00486;0.007792;0.003141;
"pear";0.911596;0.824649;0.839187;0.711441;0.760018;0;0.068405;0.009501;0.096782;0.001726;0.001536;-0.002376;-0.003848;
"pear";0.929988;0.864512;0.874887;0.783389;0.803701;0;0.070061;-0.000438;0.092073;-0.000431;0.001804;0.000601;-0.003021;
"pear";0.928191;0.777394;0.856227;0.761989;0.790465;0;0.065932;-0.009717;0.100371;-0.00196;0.002087;0.002497;-0.0041;
"pear";0.925241;0.608574;0.759987;0.530785;0.71;0;0.130267;-0.018804;0.054975;-0.010392;0.005462;0.002026;-0.00268;
"pear";0.91906;0.650941;0.779314;0.58245;0.732212;0;0.112602;0.028602;0.067699;0.003963;0.007199;0.001987;-0.002969;
"pear";0.922902;0.645121;0.780396;0.565266;0.714646;0;0.111521;0.032538;0.070426;0.00421;0.007129;0.002347;-0.002773;
"pear";0.93132;0.715347;0.80208;0.617949;0.726028;0;0.064156;0.0199;0.111961;-0.003675;-0.001636;0.005643;0.00743;
"pear";0.93119;0.81434;0.84579;0.710171;0.768929;0;0.102014;0.003424;0.064888;-0.005323;-0.002636;0.002309;0.001612;
"lemon";0.924572;0.891389;0.886681;0.836466;0.785205;0;0.078343;0.008888;0.082112;0.000467;0.000275;-0.000476;-0.000418;
"lemon";0.928164;0.813596;0.873915;0.729907;0.779184;0;0.084626;-0.016089;0.078207;0.000143;0.000462;-0.000393;-0.000233;
"lemon";0.933111;0.848521;0.89085;0.805484;0.783908;0;0.081702;-0.013588;0.080006;-5.2e-05;0.000182;-4.2e-05;-0.000155;
"lemon";0.947736;0.881086;0.911502;0.84341;0.803613;0;0.073816;0.008783;0.086989;-0.000279;-4.5e-05;0.00031;0.000126;
"lemon";0.955431;0.954956;0.920692;0.88268;0.825918;0;0.08466;0.001233;0.075044;0.000105;5.8e-05;-0.000107;-2.9e-05;
